id	original_id	source_page	question
kubernetes-train-manualv2-02871	kubernetes-train-manualv2-02871	reference_setup-tools_kubeadm_kubeadm-alpha	What caution does `kubeadm alpha` currently show?
kubernetes-train-manualv2-02571	kubernetes-train-manualv2-02571	reference_setup-tools_kubeadm_generated_kubeadm	What does `kubeadm` help you do?
kubernetes-train-manualv2-02674	kubernetes-train-manualv2-02674	reference_kubernetes-api	Besides direct calls, what common tool does the API reference mention for interacting with the Kubernetes API?
kubernetes-train-manualv2-02707	kubernetes-train-manualv2-02707	reference_kubernetes-api_cluster-resources_lease-v1	What does a `Lease` define?
kubernetes-train-manualv2-00260	kubernetes-train-manualv2-00260	concepts_policy	Which API objects are listed as policy examples on the Policies page?
kubernetes-train-manualv2-02071	kubernetes-train-manualv2-02071	setup_production-environment_tools_kubeadm_create-cluster-kubeadm	What is kubeadm particularly good for according to the cluster creation page?
kubernetes-train-manualv2-02957	kubernetes-train-manualv2-02957	reference_issues-security_issues	Where are Kubernetes security-related announcements sent according to the issue tracker page?
kubernetes-train-manualv2-02977	kubernetes-train-manualv2-02977	tasks	Which advanced resource topics are explicitly listed on the `Tasks` landing page?
kubernetes-train-manualv2-03814	kubernetes-train-manualv2-02980	tasks_job	Which Job patterns are listed on the `Run Jobs` page?
kubernetes-train-manualv2-03815	kubernetes-train-manualv2-02981	tasks_run-application	Which workload actions are listed on the `Run Applications` page?
kubernetes-train-manualv2-03816	kubernetes-train-manualv2-02983	tutorials	Which major tutorial areas are listed on the Kubernetes tutorials landing page?
